T;WV;WK;BZ;SPR;WBER;ABG;UNG;SPOE;FPOE;OEVP;GRUE;NEOS;WWW;ANDAS;GFW;SLP;WIFF;M;FREIE
4;1;7;12;16;530;316;6;137;82;15;39;18;2;7;10;0;0;0;0
4;1;3;2;73;605;337;8;148;129;7;26;5;3;6;5;0;0;0;0
4;1;15;20;22;896;498;10;219;188;23;17;20;0;3;16;2;0;0;0
4;1;13;18;5;682;399;13;154;73;40;84;24;0;6;5;0;0;0;0
4;1;1;1;15;774;475;5;176;113;70;59;49;0;3;0;0;0;0;0
4;1;7;12;62;981;602;7;218;214;64;58;31;2;3;5;0;0;0;0
4;1;16;21;95;1079;629;20;194;293;36;35;37;0;3;1;0;10;0;0
4;1;7;12;58;957;591;14;216;231;57;45;20;1;1;6;0;0;0;0
4;1;2;7;12;883;519;9;193;83;42;131;51;1;9;0;0;0;0;0
4;1;3;2;65;570;303;4;135;92;8;36;12;1;8;7;0;0;0;0
4;1;1;5;25;908;505;12;188;123;34;94;43;1;4;6;0;0;0;0
4;1;18;23;66;801;531;17;185;228;29;27;35;1;6;3;0;0;0;0
4;1;16;21;98;926;611;4;221;213;71;60;26;3;5;0;0;8;0;0
4;1;1;1;11;485;260;1;83;57;61;36;20;0;1;0;0;0;0;1
4;1;8;13;27;958;596;7;198;159;97;53;76;2;4;0;0;0;0;0
4;1;1;5;26;559;343;23;151;62;18;62;21;1;4;1;0;0;0;0
4;1;10;15;7;751;380;20;136;106;35;56;19;2;5;1;0;0;0;0
4;1;17;22;67;836;429;15;204;175;10;9;2;0;2;11;0;0;1;0
4;1;1;1;2;686;403;6;141;106;67;38;40;0;5;0;0;0;0;0
4;1;5;10;138;728;423;5;175;65;38;102;22;0;5;11;0;0;0;0
4;1;15;20;10;893;480;31;177;131;30;86;17;0;4;3;1;0;0;0
4;1;5;10;54;724;359;19;123;182;10;9;4;0;5;7;0;0;0;0
4;1;7;12;59;844;461;9;196;150;27;45;22;2;5;5;0;0;0;0
4;1;17;22;20;554;331;3;123;162;18;13;6;4;2;0;0;0;0;0
4;1;3;2;95;537;376;13;169;74;22;57;26;2;13;0;0;0;0;0
4;1;9;14;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;8;13;11;919;650;10;162;147;158;86;82;1;3;1;0;0;0;0
4;1;5;10;139;472;305;1;135;43;14;83;18;0;1;10;0;0;0;0
4;1;2;8;15;807;512;14;164;88;90;95;55;0;6;0;0;0;0;0
4;1;5;10;34;630;292;8;121;110;13;21;9;0;4;6;0;0;0;0
4;1;4;3;39;744;475;19;177;95;51;80;48;0;5;0;0;0;0;0
4;1;3;2;27;595;339;9;139;71;20;82;12;0;2;4;0;0;0;0
4;1;16;21;19;1038;681;32;274;238;57;41;20;0;7;3;0;9;0;0
4;1;4;3;4;848;508;22;205;93;40;98;37;0;8;5;0;0;0;0
4;1;17;22;95;1107;657;14;227;234;50;74;47;2;7;0;0;0;2;0
4;1;14;19;28;631;399;7;184;119;53;16;16;1;2;1;0;0;0;0
4;1;4;3;53;496;236;5;126;82;6;7;4;1;1;4;0;0;0;0
4;1;3;2;78;694;357;3;161;135;17;20;3;2;4;12;0;0;0;0
4;1;18;23;65;799;555;12;170;226;52;39;45;0;5;6;0;0;0;0
4;1;11;16;47;952;637;2;239;211;27;92;39;3;15;9;0;0;0;0
4;1;1;1;9;786;436;11;145;95;63;59;60;0;3;0;0;0;0;0
4;1;3;2;16;805;448;17;219;82;43;56;24;1;6;0;0;0;0;0
4;1;11;16;61;815;493;5;204;168;28;56;20;1;5;6;0;0;0;0
4;1;18;23;29;835;588;14;200;153;72;84;57;0;6;2;0;0;0;0
4;1;1;6;0;0;130;2;53;27;14;23;10;0;1;0;0;0;0;0
4;1;1;6;26;741;444;9;154;76;44;112;35;1;10;2;0;0;0;1
4;1;13;18;25;809;495;9;171;104;73;79;54;0;5;0;0;0;0;0
4;1;7;12;23;794;456;11;174;167;26;46;19;1;2;10;0;0;0;0
4;1;5;10;105;564;371;10;146;97;32;51;26;0;5;4;0;0;0;0
4;1;1;1;3;663;402;12;173;74;62;48;22;5;6;0;0;0;0;0
4;1;17;22;36;832;516;12;203;177;24;56;31;2;7;2;0;0;2;0
4;1;15;20;43;1009;504;38;208;189;12;17;14;2;3;20;1;0;0;0
4;1;17;22;54;648;396;15;153;187;11;9;7;0;2;12;0;0;0;0
4;1;17;22;11;737;461;39;210;155;22;12;14;2;4;3;0;0;0;0
4;1;12;17;10;903;501;3;200;117;25;102;37;0;8;9;0;0;0;0
4;1;5;10;20;690;313;12;107;123;27;28;9;0;5;2;0;0;0;0
4;1;13;18;41;0;5577;59;1869;926;1080;1055;524;15;43;6;0;0;0;0
4;1;5;10;62;837;464;6;198;163;27;38;17;1;4;10;0;0;0;0
4;1;16;21;55;674;433;24;173;178;22;10;11;0;5;1;0;9;0;0
4;1;5;10;114;949;639;12;259;294;24;15;14;2;4;15;0;0;0;0
4;1;4;3;68;613;402;4;144;102;76;47;21;0;7;1;0;0;0;0
4;1;1;6;2;732;422;7;156;113;41;69;29;1;6;0;0;0;0;0
4;1;15;20;19;996;569;12;233;177;51;45;31;0;6;12;2;0;0;0
4;1;6;11;38;794;454;17;188;178;20;20;22;2;3;4;0;0;0;0
4;1;1;6;3;895;544;1;199;123;52;118;47;0;4;0;0;0;0;0
4;1;16;21;88;695;478;18;184;202;20;28;13;0;3;5;0;5;0;0
4;1;7;12;22;744;388;5;147;118;34;50;14;0;11;9;0;0;0;0
4;1;5;10;91;912;585;22;200;307;10;17;18;1;3;7;0;0;0;0
4;1;18;23;45;792;518;15;198;195;29;52;22;2;0;5;0;0;0;0
4;1;15;20;53;726;406;12;165;116;27;50;21;4;3;8;0;0;0;0
4;1;17;22;21;986;622;27;328;195;12;13;14;0;3;28;0;0;2;0
4;1;17;22;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;17;22;147;1090;610;14;234;230;32;52;41;1;5;0;0;0;1;0
4;1;2;7;10;741;438;9;163;64;51;103;42;0;5;1;0;0;0;0
4;1;17;22;121;945;633;34;242;224;57;29;40;2;4;1;0;0;0;0
4;1;8;13;34;761;493;11;132;115;116;53;62;0;3;1;0;0;0;0
4;1;2;8;23;0;3056;24;1066;448;522;652;310;3;30;1;0;0;0;0
4;1;5;10;14;800;460;14;234;147;14;17;10;0;0;24;0;0;0;0
4;1;9;14;19;896;688;38;208;158;136;86;60;0;2;0;0;0;0;0
4;1;1;6;20;766;446;5;174;77;50;90;43;1;3;3;0;0;0;0
4;1;5;10;118;737;523;19;186;272;8;14;18;3;3;0;0;0;0;0
4;1;1;5;20;599;354;7;185;87;31;24;12;1;5;2;0;0;0;0
4;1;4;3;33;649;339;2;132;98;32;38;24;0;8;5;0;0;0;0
4;1;14;19;24;827;500;5;185;129;76;51;49;0;4;1;0;0;0;0
4;1;17;22;27;450;300;9;138;114;10;11;7;2;3;6;0;0;0;0
4;1;3;2;77;843;454;9;188;203;19;23;8;0;2;2;0;0;0;0
4;1;11;16;65;923;598;12;278;169;48;40;26;2;9;14;0;0;0;0
4;1;7;12;10;933;546;14;180;146;56;98;36;1;11;4;0;0;0;0
4;1;16;21;7;724;436;3;182;168;28;29;17;1;2;0;0;6;0;0
4;1;17;22;99;918;634;25;310;200;36;33;27;0;2;0;0;0;1;0
4;1;18;23;86;559;404;6;169;186;16;7;9;1;5;5;0;0;0;0
4;1;4;3;40;1033;613;18;227;117;91;80;69;0;10;1;0;0;0;0
4;1;8;13;46;0;6060;54;1983;1345;1342;674;609;12;33;8;0;0;0;0
4;1;1;4;21;934;512;22;198;98;62;77;48;0;6;1;0;0;0;0
4;1;18;23;7;602;450;17;185;144;34;40;26;1;3;0;0;0;0;0
4;1;6;11;69;903;528;11;203;249;16;14;15;0;4;16;0;0;0;0
4;1;17;22;51;780;512;10;219;215;22;17;17;0;3;8;0;0;1;0
4;1;10;15;1;1086;593;26;258;246;15;21;8;1;3;15;0;0;0;0
4;1;7;12;44;1116;608;39;268;233;12;13;9;0;4;30;0;0;0;0
4;1;7;12;60;839;545;12;209;166;61;46;36;1;9;5;0;0;0;0
4;1;3;2;32;520;324;13;135;67;26;60;19;0;3;1;0;0;0;0
4;1;16;21;5;652;405;26;198;134;17;12;7;1;1;0;0;9;0;0
4;1;5;10;51;522;278;8;89;106;17;23;15;1;10;9;0;0;0;0
4;1;7;12;49;866;541;12;189;149;85;62;32;0;8;4;0;0;0;0
4;1;5;10;140;401;250;1;111;46;13;66;9;0;4;0;0;0;0;0
4;1;11;16;10;512;280;8;109;85;12;47;9;0;7;3;0;0;0;0
4;1;2;9;24;857;533;18;178;112;56;112;48;0;9;0;0;0;0;0
4;1;11;16;71;416;266;14;111;84;17;26;10;0;3;1;0;0;0;0
4;1;5;10;102;1142;541;15;195;282;15;12;6;0;7;9;0;0;0;0
4;1;10;15;5;838;418;5;194;137;21;21;19;1;3;17;0;0;0;0
4;1;18;23;10;678;516;14;212;168;43;51;24;1;3;0;0;0;0;0
